"學年度","學校所在地別","校數總數","公立校數","6班以下校數","49班以上校數","教師總數","公立教師數","職員總數","公立職員數","班級總數","公立班級數","學生總數","公立學生數","上學年畢業生總數","公立上學年畢業生總數"
109,金門縣,5,5,1,0,237,237,47,47,79,79,1854,1854,605,605
109,連江縣,5,5,5,0,70,70,29,29,18,18,257,257,67,67
110,新北市,61,61,5,20,5936,5936,597,597,3360,2976,91044,76383,29682,24905
110,臺北市,59,58,2,10,4812,4800,925,918,2314,2022,65268,53537,20936,17402
110,桃園市,57,55,1,15,5219,5190,615,601,2257,2081,62184,54724,20662,18201
110,臺中市,70,69,4,14,5488,5475,650,639,2818,2495,78320,64557,25984,21532
110,臺南市,60,59,14,6,3418,3360,450,441,1682,1452,46589,37392,15486,12511
110,高雄市,80,80,16,14,5328,5328,734,734,2434,2314,64368,60569,22148,20956
110,宜蘭縣,24,24,5,1,1108,1108,175,175,472,439,11620,10436,4080,3663
110,新竹縣,30,29,8,2,1488,1465,206,197,646,587,17235,15039,5516,4883
110,苗栗縣,30,30,12,1,1200,1200,156,156,551,508,13787,12121,4658,4130
110,彰化縣,38,38,4,4,2387,2387,316,316,1117,1054,30638,27795,11042,10064
110,南投縣,32,31,17,1,1219,1198,216,198,482,446,11549,10567,4207,3858
110,雲林縣,32,29,6,2,1373,1194,221,200,658,493,17466,12145,6259,4427
110,嘉義縣,24,24,7,0,935,935,137,137,397,365,9219,7945,3570,3119
110,屏東縣,36,35,8,2,1552,1483,229,218,705,647,17910,15754,6522,5789
110,臺東縣,21,21,10,1,683,683,129,129,250,241,5322,5113,1915,1843
110,花蓮縣,23,23,10,1,851,851,159,159,333,304,8045,7175,2769,2512
110,澎湖縣,14,14,11,0,315,315,51,51,101,101,1810,1810,664,664
110,基隆市,11,11,0,0,642,642,108,108,324,291,8125,6624,2727,2219
110,新竹市,14,13,1,3,1104,1082,132,124,576,523,15841,13791,4969,4323
110,嘉義市,8,8,0,2,698,698,94,94,306,258,8456,6585,2927,2327
110,金門縣,5,5,1,0,255,255,51,51,82,82,1871,1871,595,595
110,連江縣,5,5,5,0,69,69,28,28,18,18,247,247,94,94
111,新北市,61,61,5,20,5859,5859,584,584,3287,2904,87567,73398,30350,25493
111,臺北市,59,58,2,10,4767,4755,922,915,2281,1993,63593,52060,21580,17826
111,桃園市,57,55,1,13,5113,5084,614,600,2192,2019,59783,52369,20487,18050
111,臺中市,70,69,4,14,5499,5481,638,630,2818,2495,75249,61816,26375,21819
111,臺南市,60,59,15,5,3317,3258,450,441,1621,1393,44319,35417,15449,12475
111,高雄市,80,80,17,14,5250,5250,719,719,2369,2252,61145,57399,21565,20335
111,宜蘭縣,25,25,6,1,1127,1127,181,181,476,445,11253,10100,3882,3489
111,新竹縣,31,30,10,2,1471,1446,206,197,635,576,16837,14627,5616,4949
111,苗栗縣,30,30,13,1,1160,1160,156,156,526,484,12944,11333,4658,4145
111,彰化縣,38,38,4,4,2317,2317,302,302,1079,1016,29093,26277,10412,9475
111,南投縣,32,31,18,1,1191,1171,216,201,460,425,10915,9977,3985,3661
111,雲林縣,32,29,6,2,1377,1190,225,205,658,497,16394,11416,6003,4212
111,嘉義縣,24,24,7,0,884,884,136,136,378,346,8625,7367,3214,2809
111,屏東縣,36,35,8,2,1546,1470,230,219,665,605,16731,14625,6217,5546
111,臺東縣,21,21,10,1,655,655,130,130,242,232,4962,4728,1836,1754
111,花蓮縣,23,23,10,1,843,843,162,162,331,301,7741,6908,2651,2368
111,澎湖縣,14,14,11,0,311,311,51,51,98,98,1697,1697,639,639
111,基隆市,11,11,0,0,623,623,103,103,310,278,7644,6235,2772,2293
111,新竹市,14,13,1,3,1098,1075,135,125,569,517,15530,13492,5039,4404
111,嘉義市,8,8,0,2,692,692,94,94,302,256,8126,6343,2806,2168
111,金門縣,5,5,1,0,251,251,48,48,83,83,1823,1823,611,611
111,連江縣,5,5,5,0,67,67,30,30,18,18,245,245,84,84
112,新北市,61,61,6,20,5906,5906,584,584,3236,2862,85762,72125,30266,25475
112,臺北市,59,58,2,10,4737,4725,918,910,2261,1976,62422,51212,21937,18073
112,桃園市,57,55,1,13,5069,5038,613,600,2156,1983,58718,51303,20829,18424
112,臺中市,70,69,4,14,5442,5428,637,628,2775,2457,73448,60322,26193,21697
112,臺南市,60,59,16,5,3263,3208,442,435,1576,1349,42710,34153,15437,12444
112,高雄市,80,80,18,14,5186,5186,710,710,2331,2213,58888,55227,21439,20178
112,宜蘭縣,25,25,6,1,1136,1136,180,180,476,446,11013,9906,3749,3407
112,新竹縣,31,30,10,2,1496,1470,216,207,631,572,16537,14414,5731,4997
112,苗栗縣,30,30,14,1,1160,1160,154,154,516,478,12557,11097,4542,3974
112,彰化縣,38,38,4,4,2284,2284,289,289,1054,991,27965,25156,10112,9189
112,南投縣,32,31,18,1,1170,1152,211,196,451,416,10602,9683,3826,3517
112,雲林縣,32,29,6,2,1409,1223,227,206,660,502,15454,10787,5821,4053
112,嘉義縣,24,24,8,0,872,872,131,131,368,337,8216,6987,3075,2649
112,屏東縣,35,34,7,2,1509,1434,223,212,652,592,15960,13953,5870,5136
112,臺東縣,21,21,11,1,636,636,128,128,237,227,4752,4530,1758,1692
112,花蓮縣,23,23,10,1,844,844,152,152,326,296,7484,6675,2610,2340
112,澎湖縣,14,14,11,0,308,308,51,51,95,95,1625,1625,605,605
112,基隆市,11,11,0,0,604,604,107,107,298,266,7270,5927,2626,2141
112,新竹市,14,13,1,3,1097,1068,133,123,562,507,15109,13126,5377,4716
112,嘉義市,8,8,0,2,681,681,93,93,294,252,7760,6124,2921,2282
112,金門縣,5,5,1,0,251,251,52,52,83,83,1795,1795,609,609
112,連江縣,5,5,5,0,63,63,29,29,18,18,252,252,76,76
113,新北市,61,61,5,22,6165,6165,591,591,3330,2947,90131,75956,29277,24700
113,臺北市,59,58,2,10,4784,4772,926,918,2289,2007,64808,53354,21036,17324
113,桃園市,57,55,1,14,5263,5230,610,596,2243,2068,61743,54199,20149,17687
113,臺中市,70,69,4,16,5607,5594,628,619,2874,2546,77345,63824,25113,20639
113,臺南市,60,59,16,7,3390,3340,445,437,1621,1397,44331,35766,15201,12181
113,高雄市,80,80,17,14,5221,5221,705,705,2376,2255,61242,57396,20610,19397
113,宜蘭縣,25,25,6,2,1153,1153,178,178,480,448,11263,10056,3845,3493
113,新竹縣,32,31,10,2,1571,1546,219,207,669,609,17585,15372,5681,4981
113,苗栗縣,30,30,14,1,1189,1189,153,153,532,497,13092,11764,4391,3840
113,彰化縣,38,38,4,4,2310,2310,290,290,1081,1018,28516,25674,9944,9029
113,南投縣,32,31,18,1,1183,1165,207,190,461,424,10999,9951,3582,3318
113,雲林縣,32,29,6,2,1429,1249,220,198,674,512,15584,10786,5479,3836
113,嘉義縣,24,24,9,0,862,862,130,130,368,338,8240,7036,2867,2464
113,屏東縣,35,34,7,2,1543,1469,221,209,673,612,16427,14462,5597,4900
113,臺東縣,21,21,10,1,650,650,124,124,241,231,4834,4623,1650,1578
113,花蓮縣,23,23,10,1,845,845,155,155,326,295,7508,6621,2546,2296
113,澎湖縣,13,13,10,0,303,303,49,49,93,93,1666,1666,566,566
113,基隆市,11,11,0,0,616,616,102,102,303,271,7408,6146,2533,2037
113,新竹市,14,13,1,4,1146,1115,133,123,585,530,15928,13916,5177,4505
113,嘉義市,8,8,0,2,689,689,90,90,302,257,8017,6296,2707,2132
113,金門縣,5,5,1,0,258,258,50,50,85,85,1877,1877,615,615
113,連江縣,5,5,5,0,66,66,26,26,18,18,257,257,89,89
